editonNo,Team Name,Player ID,Player Name,Role,Batting Style,Bowling Style,Nationality,DOB,IPL Debut,Matches,Runs,WIckets,Image
2015,chennai-super-kings,1480,Andrew Tye,Bowler,Right-handed,Right-arm Medium Fast,Australian,12-Dec-86,2017,30,91,42,https://assets.iplt20.com/ipl/IPLHeadshot2022/1480.png
2015,chennai-super-kings,9,Ravindra Jadeja,All-rounder,Left-handed,Left-arm Orthodox Spin,Indian,6-Dec-88,2008,210,2502,132,https://assets.iplt20.com/ipl/IPLHeadshot2022/9.png
2015,chennai-super-kings,202,Brendon McCullum,Wicketkeeper Batter,Right-handed,Right-arm Medium,New Zealander,27-Sep-81,2008,109,2880,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/202.png
2015,chennai-super-kings,590,Samuel Badree,Bowler,Right-handed,Right-arm Leg Spin,West Indian,9-Mar-81,2013,7,13,11,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/590.png
2015,chennai-super-kings,14,Suresh Raina,Batter,Left-handed,Right-arm Off-spin,Indian,27-Nov-86,2008,205,5528,25,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/14.png
2015,chennai-super-kings,1105,Kyle Abbott,All-rounder,Right-handed,Right-arm Medium Fast,South African,18-Jun-87,2015,5,13,2,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/1105.png
2015,chennai-super-kings,1107,Mohit Sharma,Bowler,Right-handed,Right-arm Medium,Indian,19-Dec-91,2013,70,122,92,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/1107.png
2015,chennai-super-kings,20,Michael Hussey,Batter,Left-handed,Right-arm Medium,Australian,27-May-75,2008,59,1977,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/20.png
2015,chennai-super-kings,277,Ronit More,Bowler,Left-handed,Right-arm Medium,Indian,11-Feb-92,2012,2,2,1,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/277.png
2015,chennai-super-kings,1558,Ankush Bains,Wicketkeeper Batter,Right-handed,,Indian,16-Dec-95,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2015,chennai-super-kings,24,Faf du Plessis,Batter,Right-handed,Right-arm Leg Spin,South African,13-Jul-84,2012,116,3403,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/24.png
2015,chennai-super-kings,25,Dwayne Bravo,All-rounder,Right-handed,Right-arm Medium Fast,West Indian,7-Oct-83,2008,161,1560,183,https://assets.iplt20.com/ipl/IPLHeadshot2022/25.png
2015,chennai-super-kings,413,Dwayne Smith,Batting All-rounder,Right-handed,Right-arm Medium,West Indian,12-Apr-83,2008,91,2385,26,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/413.png
2015,chennai-super-kings,1505,Matt Henry,Bowler,Right-handed,Right-arm Fast-medium,New Zealander,14-Dec-91,,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/1505.png
2015,chennai-super-kings,2731,Pratyush Singh,,Right-handed,,Indian,4-Sep-94,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2015,chennai-super-kings,49,Irfan Pathan,All-rounder,Left-handed,Left-arm Medium Fast,Indian,27-Oct-84,2008,103,1139,80,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/49.png
2015,chennai-super-kings,115,Ashish Nehra,Bowler,Right-handed,Left-arm Medium Fast,Indian,29-Apr-79,2008,55,39,87,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/115.png
2015,chennai-super-kings,53,Pawan Negi,Bowling All-rounder,Left-handed,Left-arm Orthodox Spin,Indian,6-Jan-83,2012,47,365,34,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/53.png
2015,chennai-super-kings,118,Eklavya Dwivedi,Wicketkeeper,Right-handed,,Indian,22-Jul-88,2016,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/118.png
2015,chennai-super-kings,1084,Baba Aparajith,,Right-handed,,Indian,8-Jul-94,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2015,chennai-super-kings,124,Mithun Manhas,Batter,Left-handed,Right-arm Off-spin,Indian,12-Oct-79,2008,44,439,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/124.png
2015,chennai-super-kings,126,Rahul Sharma,Bowler,Left-handed,Right-arm Leg Spin,Indian,30-Nov-86,2010,42,66,40,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/126.png
2015,delhi-capitals,182,JP Duminy,Batting All-rounder,Left-handed,Right-arm Off-spin,South African,14-Apr-84,2009,83,2029,23,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/182.png
2015,delhi-capitals,834,Quinton de Kock,Wicketkeeper Batter,Left-handed,,South African,17-Dec-92,,92,2764,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/834.png
2015,delhi-capitals,898,Imran Tahir,Bowler,Right-handed,Leg-spinner,South African,27-Mar-79,2014,41,33,82,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/898.png
2015,delhi-capitals,964,Marcus Stoinis,All-rounder,Right-handed,Right-arm Medium-fast,Australian,16-Aug-89,2016,67,1070,34,https://assets.iplt20.com/ipl/IPLHeadshot2022/964.png
2015,delhi-capitals,840,Nathan Coulter-Nile,Bowler,Right-handed,Right-arm Fast,Australian,11-Oct-87,2013,39,82,48,https://assets.iplt20.com/ipl/IPLHeadshot2022/840.png
2015,delhi-capitals,1740,Jayant Yadav,Bowler,Right-handed,Right-arm Off-spin,Indian,22-Jan-90,2015,19,40,8,https://assets.iplt20.com/ipl/IPLHeadshot2022/1740.png
2015,delhi-capitals,86,Jaydev Unadkat,Bowler,Right-handed,Left-arm Medium Fast,Indian,18-Oct-91,2010,91,164,91,https://assets.iplt20.com/ipl/IPLHeadshot2022/86.png
2015,delhi-capitals,89,Manoj Tiwary,Batter,Right-handed,Right-arm Leg Spin,Indian,14-Nov-85,2008,96,1686,1,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/89.png
2015,delhi-capitals,217,Angelo Mathews,All-rounder,Right-handed,Right-arm Medium Fast,Sri Lankan,2-Jun-87,2009,49,724,27,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/217.png
2015,delhi-capitals,26,Albie Morkel,All-rounder,Left-handed,Right-arm Medium Fast,South African,10-Jun-81,2008,91,974,85,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/26.png
2015,delhi-capitals,1563,Shreyas Iyer,Batter,Right-handed,Right-arm Off-break,Indian,6-Dec-94,2015,101,2776,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/1563.png
2015,delhi-capitals,155,Chidhambaram Gautam,Wicketkeeper Batter,Right-handed,,Indian,8-Mar-86,2012,13,169,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/155.png
2015,delhi-capitals,94,Mohammad Shami,Bowler,Right-handed,Right-arm Medium,Indian,3-Sep-90,2009,93,69,99,https://assets.iplt20.com/ipl/IPLHeadshot2022/94.png
2015,delhi-capitals,158,Mayank Agarwal,Batter,Right-handed,,Indian,18-Feb-91,2011,113,2327,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/158.png
2015,delhi-capitals,30,Amit Mishra,Bowler,Right-handed,Right-arm Leg Spin,Indian,24-Nov-82,2008,147,362,166,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/30.png
2015,delhi-capitals,163,Saurabh Tiwary,Batter,Left-handed,,Indian,30-Dec-89,2008,93,1494,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/163.png
2015,delhi-capitals,165,Zaheer Khan,Bowler,Right-handed,Left-arm Medium Fast,Indian,7-Oct-78,2008,91,117,102,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/165.png
2015,delhi-capitals,297,Kedar Jadhav,All-rounder,Right-handed,Right-arm Off-spin,Indian,26-Mar-85,2010,93,1196,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/297.png
2015,delhi-capitals,2734,K.S Bharat,Wicketkeeper Batter,Right-handed,,Indian,3-Oct-93,,10,199,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/2734.png
2015,delhi-capitals,2735,KK Jiyas,,Left-handed,,Indian,21-Oct-91,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2015,delhi-capitals,2736,Domnic Joseph,Bowler,Right-handed,Right-arm Medium,Indian,9-Mar-81,,6,1,4,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/2736.png
2015,delhi-capitals,113,Yuvraj Singh,All-rounder,Left-handed,Left-arm Orthodox Spin,Indian,12-Dec-81,2008,132,2750,36,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/113.png
2015,delhi-capitals,951,Gurinder Sandhu,Bowler,Left-handed,Right-arm Fast-medium,Australian,14-Feb-93,,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/951.png
2015,delhi-capitals,57,Shahbaz Nadeem,Bowler,Right-handed,Left-arm Orthodox Spin,Indian,12-Aug-89,2011,72,39,48,https://assets.iplt20.com/ipl/IPLHeadshot2022/57.png
2015,delhi-capitals,1020,Travis Head,Batter,Left-handed,Right-arm Off-break,Australian,29-Dec-93,,10,205,2,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/1020.png
2015,kolkata-knight-riders,84,Gautam Gambhir,Batter,Left-handed,Right-arm Leg Spin,Indian,14-Oct-81,2008,154,4217,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/84.png
2015,kolkata-knight-riders,127,Robin Uthappa,Batter,Right-handed,Right-arm Medium,Indian,11-Nov-85,2008,205,4952,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/127.png
2015,kolkata-knight-riders,194,Azhar Mahmood,All-rounder,Left-handed,Right-arm Medium Fast,English,28-Feb-75,2012,23,388,29,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/194.png
2015,kolkata-knight-riders,261,Kuldeep Yadav,Bowler,Left-handed,Left-arm Orthodox Spin,Indian,14-Dec-94,2016,59,105,61,https://assets.iplt20.com/ipl/IPLHeadshot2022/261.png
2015,kolkata-knight-riders,200,Ryan ten Doeschate,All-rounder,Left-handed,Right-arm Medium Fast,Dutch,30-Jun-80,2011,29,326,2,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/200.png
2015,kolkata-knight-riders,201,Shakib Al Hasan,All-rounder,Left-handed,Left-arm Orthodox Spin,Bangladeshi,24-Mar-87,2011,71,793,63,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/201.png
2015,kolkata-knight-riders,203,Sunil Narine,Bowler,Left-handed,Right-arm Off-spin,West Indian,26-May-88,2012,148,1025,152,https://assets.iplt20.com/ipl/IPLHeadshot2022/203.png
2015,kolkata-knight-riders,971,Jimmy Neesham,Batting Allrounder,Left-handed,Right-arm Medium,New Zealander,17-Sep-90,2014,12,61,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/971.png
2015,kolkata-knight-riders,76,Piyush Chawla,Bowling All-rounder,Left-handed,Right-arm Leg Spin,Indian,24-Dec-88,2008,158,584,157,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/76.png
2015,kolkata-knight-riders,149,Sumit Narwal,Bowling All-rounder,Left-handed,Right-arm Medium,Indian,16-Apr-82,2010,7,37,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/149.png
2015,kolkata-knight-riders,1116,Sheldon Jackson,Wicketkeeper Batter,Right-handed,,Indian,27-Sep-86,,9,61,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/1116.png
2015,kolkata-knight-riders,96,Yusuf Pathan,All-rounder,Right-handed,Right-arm Off-spin,Indian,17-Nov-82,2008,174,3204,42,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/96.png
2015,kolkata-knight-riders,224,Johan Botha,All-rounder,Left-handed,Right-arm Off-spin,South African,2-May-82,2009,34,409,25,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/224.png
2015,kolkata-knight-riders,231,Brad Hogg,All-rounder,Left-handed,Left-arm Chinaman,Australian,6-Feb-71,2012,15,22,23,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/231.png
2015,kolkata-knight-riders,488,Pat Cummins,Bowler,Right-handed,Right-arm Fast,Australian,8-May-93,2014,42,379,45,https://assets.iplt20.com/ipl/IPLHeadshot2022/488.png
2015,kolkata-knight-riders,169,Morne Morkel,Bowler,Left-handed,Right-arm Fast,South African,6-Oct-84,2009,70,126,77,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/169.png
2015,kolkata-knight-riders,108,Suryakumar Yadav,Batter,Right-handed,Right-arm Medium,Indian,14-Sep-90,2012,123,2644,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/108.png
2015,kolkata-knight-riders,177,Andre Russell,All-rounder,Right-handed,Right-arm Fast,West Indian,29-Apr-88,2012,98,2035,89,https://assets.iplt20.com/ipl/IPLHeadshot2022/177.png
2015,kolkata-knight-riders,179,Chris Lynn,Batter,Right-handed,Left-arm Orthodox Spin,Australian,10-Apr-90,2012,42,1329,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/179.png
2015,kolkata-knight-riders,2742,Aditya Garhwal,,Right-handed,,Indian,15-Apr-96,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2015,kolkata-knight-riders,2743,KC Cariappa,Bowler,Right-handed,Leg-break,Indian,13-Apr-94,2015,11,24,8,https://assets.iplt20.com/ipl/IPLHeadshot2022/2743.png
2015,kolkata-knight-riders,2744,Vaibhav Rawal,,Left-handed,,Indian,9-Nov-91,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2015,kolkata-knight-riders,250,Veer Pratap Singh,Bowler,Left-handed,Right-arm Medium,Indian,3-May-92,,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/250.png
2015,kolkata-knight-riders,59,Umesh Yadav,Bowler,Right-handed,Right-arm Medium Fast,Indian,25-Oct-87,2010,133,177,135,https://assets.iplt20.com/ipl/IPLHeadshot2022/59.png
2015,kolkata-knight-riders,123,Manish Pandey,Batter,Right-handed,Right-arm Off-spin,Indian,10-Sep-89,2008,160,3648,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/123.png
2015,mumbai-indians,107,Rohit Sharma,Batter,Right-handed,Right-arm Off-spin,Indian,30-Apr-87,2008,227,5879,15,https://assets.iplt20.com/ipl/IPLHeadshot2022/107.png
2015,mumbai-indians,100,Ambati Rayudu,Wicketkeeper Batter,Right-handed,Right-arm Off-spin,Indian,23-Sep-85,2010,188,4190,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/100.png
2015,mumbai-indians,773,Colin Munro,Batter,Left-handed,Right Arm Medium,New Zealander,11-Mar-87,2015,13,177,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/773.png
2015,mumbai-indians,968,Corey Anderson,All-rounder,Left-handed,Left-arm Medium Fast,New Zealander,13-Dec-90,,30,538,11,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/968.png
2015,mumbai-indians,204,Marchant de Lange,Bowler,Left-handed,Right-arm Medium Fast,South African,13-Oct-90,2012,1,1,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/204.png
2015,mumbai-indians,205,Aiden Blizzard,Batter,Left-handed,Left-arm Medium,Australian,27-Jun-84,2011,6,120,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/205.png
2015,mumbai-indians,17,Ben Hilfenhaus,Bowler,Right-handed,Right-arm Medium Fast,Australian,15-Mar-83,2012,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/17.png
2015,mumbai-indians,210,Kieron Pollard,All-rounder,Right-handed,Right-arm Medium,West Indian,12-May-87,2010,189,3412,69,https://assets.iplt20.com/ipl/IPLHeadshot2022/210.png
2015,mumbai-indians,211,Lasith Malinga,Bowler,Right-handed,Right-arm Fast,Sri Lankan,28-Aug-83,2009,110,88,170,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/211.png
2015,mumbai-indians,595,Lendl Simmons,Batter,Right-handed,Right-arm Medium-fast,West Indian,25-Jan-85,2014,29,1079,1,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/595.png
2015,mumbai-indians,1748,Shreyas Gopal,All-rounder,Right-handed,Right-arm Leg Spin,Indian,4-Sep-93,,49,180,49,https://assets.iplt20.com/ipl/IPLHeadshot2022/1748.png
2015,mumbai-indians,151,Abhimanyu Mithun,Bowler,Right-handed,Right-arm Medium Fast,Indian,25-Oct-89,2009,14,34,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/151.png
2015,mumbai-indians,857,Josh Hazlewood,Bowler,Left-handed,Right-arm Fast-medium,Australian,8-Jan-91,2012,24,18,32,https://assets.iplt20.com/ipl/IPLHeadshot2022/857.png
2015,mumbai-indians,730,Mitchell McClenaghan,Bowler,Left-handed,Left-arm Medium-fast,New Zealander,11-Jun-86,2015,56,85,71,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/730.png
2015,mumbai-indians,99,Aditya Tare,Wicketkeeper Batter,Right-handed,,Indian,7-Nov-87,2010,35,339,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/99.png
2015,mumbai-indians,1124,Jasprit Bumrah,Bowler,Right-handed,Right-arm Medium,Indian,6-Dec-93,2013,120,57,145,https://assets.iplt20.com/ipl/IPLHeadshot2022/1124.png
2015,mumbai-indians,166,Vinay Kumar,Bowler,Right-handed,Right-arm Medium Fast,Indian,12-Feb-84,2008,104,310,105,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/166.png
2015,mumbai-indians,103,Harbhajan Singh,Bowling All-rounder,Right-handed,Right-arm Off-spin,Indian,3-Jul-80,2008,163,833,150,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/103.png
2015,mumbai-indians,167,Aaron Finch,Batter,Right-handed,Left-arm Orthodox,Australian,17-Nov-86,2010,92,2091,1,https://assets.iplt20.com/ipl/IPLHeadshot2022/167.png
2015,mumbai-indians,105,Pawan Suyal,Bowler,Right-handed,Left-arm Medium,Indian,15-Oct-89,2013,0,0,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/105.png
2015,mumbai-indians,106,Pragyan Ojha,Bowler,Left-handed,Left-arm Orthodox Spin,Indian,5-Sep-86,2008,69,13,85,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/106.png
2015,mumbai-indians,44,Parthiv Patel,Wicketkeeper Batter,Left-handed,,Indian,9-Mar-85,2008,139,2848,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/44.png
2015,mumbai-indians,2737,Akshay Wakhare,,Right-handed,,Indian,3-Oct-85,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2015,mumbai-indians,2738,Nitish Rana,Batter,Left-handed,Right-arm Off-break,Indian,27-Dec-93,2016,91,2181,7,https://assets.iplt20.com/ipl/IPLHeadshot2022/2738.png
2015,mumbai-indians,2739,Siddhesh Lad,Batter,Right-handed,Right-arm Off-spin,Indian,23-May-92,2019,1,15,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/2739.png
2015,mumbai-indians,2740,Hardik Pandya,All-rounder,Right-handed,Right-arm Medium Fast,Indian,11-Oct-93,2015,107,1963,50,https://assets.iplt20.com/ipl/IPLHeadshot2022/2740.png
2015,mumbai-indians,2741,Jagadeesha Suchith,Bowler,Left-handed,Slow Left-arm Orthodox,Indian,16-Jan-94,2015,22,70,19,https://assets.iplt20.com/ipl/IPLHeadshot2022/2741.png
2015,mumbai-indians,60,Unmukt Chand,Batter,Left-handed,Right-arm Off-spin,Indian,26-Mar-93,2011,21,300,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/60.png
2015,mumbai-indians,511,,,Left-handed,,,,,6,148,0,https://www.iplt20.com/assets/images/default-headshot.png
2015,punjab-kings,19,George Bailey,Batter,Left-handed,Right-arm Medium,Australian,7-Sep-82,2009,40,663,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/19.png
2015,punjab-kings,16,Wriddhiman Saha,Wicketkeeper Batter,Right-handed,,Indian,24-Oct-84,2008,144,2427,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/16.png
2015,punjab-kings,1088,Rishi Dhawan,All-rounder,Right-handed,Right-arm Medium Fast,Indian,19-Feb-90,2013,32,190,24,https://assets.iplt20.com/ipl/IPLHeadshot2022/1088.png
2015,punjab-kings,7,Murali Vijay,Batter,Left-handed,Right-arm Off-spin,Indian,1-Apr-84,2009,106,2619,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/7.png
2015,punjab-kings,2732,Nikhil Naik,Wicketkeeper Batter,Right-handed,,Indian,9-Nov-94,2016,4,31,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/2732.png
2015,punjab-kings,45,Virender Sehwag,Batter,Right-handed,Right-arm Off-spin,Indian,20-Oct-78,2008,104,2728,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/45.png
2015,punjab-kings,2733,Yogesh Golwalkar,,Left-handed,,Indian,13-Feb-80,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2015,punjab-kings,1743,Karanveer Singh,All-rounder,Right-handed,Right-arm Leg Spin,Indian,8-Nov-87,,9,12,12,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/1743.png
2015,punjab-kings,1744,Shivam Sharma,All-rounder,Right-handed,Right-arm Off-spin,Indian,9-Sep-93,,4,5,4,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/1744.png
2015,punjab-kings,1745,Shardul Thakur,Bowler,Right-handed,Right-arm Medium,Indian,16-Oct-91,2015,75,173,82,https://assets.iplt20.com/ipl/IPLHeadshot2022/1745.png
2015,punjab-kings,213,Mitchell Johnson,Bowling All-rounder,Left-handed,Left-arm Fast,Australian,2-Nov-81,2012,54,167,61,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/213.png
2015,punjab-kings,215,Thisara Perera,All-rounder,Left-handed,Right-arm Medium Fast,Sri Lankan,3-Apr-89,2010,36,422,31,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/215.png
2015,punjab-kings,1752,Beuran Hendricks,Bowler,Left-handed,Left-arm Medium Fast,South African,8-Jun-90,,7,1,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/1752.png
2015,punjab-kings,1112,Sandeep Sharma,Bowler,Right-handed,Right-arm Medium,Indian,18-May-93,2013,104,52,114,https://assets.iplt20.com/ipl/IPLHeadshot2022/1112.png
2015,punjab-kings,1113,Axar Patel,All-rounder,Left-handed,Left-arm Orthodox Spin,Indian,20-Jan-94,2014,122,1135,101,https://assets.iplt20.com/ipl/IPLHeadshot2022/1113.png
2015,punjab-kings,282,Glenn Maxwell,All-rounder,Right-handed,Right-arm Off-spin,Australian,14-Oct-88,2012,110,2319,28,https://assets.iplt20.com/ipl/IPLHeadshot2022/282.png
2015,punjab-kings,187,David Miller,Batter,Left-handed,Right-arm Off-spin,South African,10-Jun-89,2012,105,2455,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/187.png
2015,punjab-kings,412,Anureet Singh,Bowler,Right-handed,Right-arm Medium,Indian,26-Feb-82,2009,18,36,18,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/412.png
2015,punjab-kings,253,Gurkeerat Mann Singh,Batter,Right-handed,Right-arm Off-spin,Indian,29-Jun-90,2012,41,511,5,https://assets.iplt20.com/ipl/IPLHeadshot2022/253.png
2015,punjab-kings,1085,Manan Vohra,Batter,Right-handed,Right-arm Medium,Indian,18-Jul-93,2013,55,1073,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/1085.png
2015,punjab-kings,254,Parvinder Awana,Bowler,Left-handed,Right-arm Medium,Indian,19-Jul-86,2012,12,4,39,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/254.png
2015,punjab-kings,191,Shaun Marsh,Batter,Left-handed,Left-arm Orthodox Spin,Australian,9-Jul-83,2008,71,2477,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/191.png
2015,rajasthan-royals,271,Steve Smith,All-rounder,Right-handed,Right-arm Leg Spin,Australian,2-Jun-89,2012,103,2485,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/271.png
2015,rajasthan-royals,258,Sanju Samson,Wicketkeeper Batter,Right-handed,,Indian,11-Nov-94,2013,138,3526,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/258.png
2015,rajasthan-royals,193,James Faulkner,All-rounder,Right-handed,Left-arm Medium Fast,Australian,29-Apr-90,2011,59,527,59,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/193.png
2015,rajasthan-royals,66,Abhishek Nayar,All-rounder,Left-handed,Right-arm Medium,Indian,8-Oct-83,2008,60,672,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/66.png
2015,rajasthan-royals,836,Chris Morris,All-rounder,Right-handed,Right-arm Medium Fast,South African,30-Apr-87,2013,81,618,95,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/836.png
2015,rajasthan-royals,135,Ajinkya Rahane,Batter,Right-handed,Right-arm Medium,Indian,6-Jun-88,2008,158,4074,1,https://assets.iplt20.com/ipl/IPLHeadshot2022/135.png
2015,rajasthan-royals,141,Dishant Yagnik,Wicketkeeper Batter,Left-handed,,Indian,22-Jun-83,2011,25,170,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/141.png
2015,rajasthan-royals,913,Ben Cutting,Bowler,Right-handed,Right-arm Fast-medium,Australian,30-Jan-87,2014,21,238,10,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/913.png
2015,rajasthan-royals,82,Vikramjeet Malik,Bowler,Left-handed,Right-arm Medium,Indian,9-May-83,2009,4,7,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/82.png
2015,rajasthan-royals,148,Stuart Binny,All-rounder,Right-handed,Right-arm Medium,Indian,3-Jun-84,2010,95,880,22,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/148.png
