editionNo,TeamName,Played,Won,Lost,Tied,N/R,NetRunRate,For,Against,Pts
2020,PBKS,14,6,8,0,0,-0.162,2335/277.5,2343/273.3,12
2020,CSK,14,6,8,0,0,-0.455,2191/274.3,2275/269.4,12
2020,RR,14,6,8,0,0,-0.569,2288/272.4,2482/277,12
2021,DC,14,10,4,0,0,0.481,2180/267,2136/278,20
2021,CSK,14,9,5,0,0,0.455,2368/272,2218/268.5,18
2021,RCB,14,9,5,0,0,-0.14,2165/273.4,2159/268.1,18
2021,KKR,14,7,7,0,0,0.587,2119/259.5,2080/274.5,14
2021,MI,14,7,7,0,0,0.116,2117/265.5,2128/271.1,14
2021,PBKS,14,6,8,0,0,-0.001,2150/270.1,2117/266,12
2021,RR,14,5,9,0,0,-0.993,2196/276,2318/259,10
2021,SRH,14,3,11,0,0,-0.545,2077/277.1,2216/275.4,6
2022,GT,14,10,4,0,0,0.316,2339/278.1,2216/273.5,20
2022,RR,14,9,5,0,0,0.298,2464/279.2,2351/275.5,18
2022,LSG,14,9,5,0,0,0.251,2355/279.1,2289/279.4,18
2022,RCB,14,8,6,0,0,-0.253,2268/275.4,2260/266.3,16
2022,DC,14,7,7,0,0,0.204,2341/266.0,2397/278.5,14
2022,PBKS,14,7,7,0,0,0.126,2343/270.1,2252/263.3,14
2022,KKR,14,6,8,0,0,0.146,2223/268.1,2249/276.1,12
2022,SRH,14,6,8,0,0,-0.379,2197/261.3,2416/275.1,12
2022,CSK,14,4,10,0,0,-0.203,2288/280.0,2254/269.1,8
2022,MI,14,4,10,0,0,-0.506,2217/273.2,2351/272.5,8
