Year,FirstBattingTeamName,SecondBattingTeamName,MatchName,MatchDateNew,Commentss,1Summary,2Summary
2008,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals VS Royal Challengers Bangalore,30-Apr-08,Delhi Capitals won by 10 runs,191/5 (20 Overs),181/5 (20 Overs)
2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders VS Mumbai Indians,29-Apr-08,Mumbai Indians won by 7 wickets,137/8 (20 Overs),138/3 (18.4 Overs)
2008,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore VS Chennai Super Kings,28-Apr-08,Chennai Super Kings won by 13 runs,178/5 (20 Overs),165/10 (19.4 Overs)
2008,Mumbai Indians,Deccan Chargers,Mumbai Indians VS Deccan Chargers,27-Apr-08,Deccan Chargers won by 10 wickets,154/7 (20 Overs),155/0 (12 Overs)
2008,Delhi Capitals,Punjab Kings,Punjab Kings VS Delhi Capitals,27-Apr-08,Punjab Kings won by 4 wickets,158/8 (20 Overs),162/6 (19.3 Overs)
2008,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore VS Rajasthan Royals,26-Apr-08,Rajasthan Royals won by 7 wickets,135/8 (20 Overs),138/3 (17.1 Overs)
2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings VS Kolkata Knight Riders,26-Apr-08,Chennai Super Kings won by 9 wickets,147/9 (20 Overs),152/1 (17 Overs)
2008,Punjab Kings,Mumbai Indians,Punjab Kings VS Mumbai Indians,25-Apr-08,Punjab Kings won by 66 runs,182/10 (20 Overs),116/9 (20 Overs)
2008,Deccan Chargers,Rajasthan Royals,Deccan Chargers VS Rajasthan Royals,24-Apr-08,Rajasthan Royals won by 3 wickets,214/5 (20 Overs),217/7 (19.5 Overs)
2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings VS Mumbai Indians,23-Apr-08,Chennai Super Kings won by 6 runs,208/5 (20 Overs),202/7 (20 Overs)
2008,Deccan Chargers,Delhi Capitals,Deccan Chargers VS Delhi Capitals,22-Apr-08,Delhi Capitals won by 9 wickets,142/8 (20 Overs),143/1 (13 Overs)
2008,Punjab Kings,Rajasthan Royals,Rajasthan Royals VS Punjab Kings,21-Apr-08,Rajasthan Royals won by 6 wickets,166/8 (20 Overs),168/4 (18.1 Overs)
2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians VS Royal Challengers Bangalore,20-Apr-08,Royal Challengers Bangalore won by 5 wickets,165/6 (20 Overs),166/5 (19.4 Overs)
2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders VS Deccan Chargers,20-Apr-08,Kolkata Knight Riders won by 5 wickets,110/10 (18.4 Overs),112/5 (19 Overs)
2008,Rajasthan Royals,Delhi Capitals,Delhi Capitals VS Rajasthan Royals,19-Apr-08,Delhi Capitals won by 9 wickets,129/8 (20 Overs),132/1 (15.1 Overs)
2008,Chennai Super Kings,Punjab Kings,Punjab Kings VS Chennai Super Kings,19-Apr-08,Chennai Super Kings won by 33 runs,240/5 (20 Overs),207/4 (20 Overs)
2008,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore VS Kolkata Knight Riders,18-Apr-08,Kolkata Knight Riders won by 140 runs,222/3 (20 Overs),82/10 (15.1 Overs)
